invoice_id,vendor_id,po_id,amount,date,time
INV001,V005,PO033,206152,2025-01-05,13:36
INV002,V011,PO048,199313,2025-05-09,12:04
INV004,V011,PO143,171832,2025-07-08,12:06
INV005,V012,PO072,271868,2025-06-29,18:51
INV006,V007,PO058,79774,2025-05-04,18:50
INV007,V004,PO015,89736,2025-03-13,15:42
INV008,V005,PO019,156407,2025-08-25,14:00
INV009,V012,PO034,261763,2025-05-23,10:27
INV010,V006,PO125,253272,2025-05-04,16:45
INV011,V009,PO045,159161,2025-03-01,17:41
INV012,V012,PO135,191130,2025-02-28,17:49
INV013,V012,PO055,259323,2025-06-13,18:17
INV014,V005,PO106,203645,2025-08-30,10:17
INV015,V015,PO016,81202,2025-03-13,16:36
INV016,V006,PO061,262687,2025-03-25,14:01
INV017,V011,PO121,224447,2025-08-20,11:31
INV018,V008,PO005,99756,2025-01-28,13:21
INV019,V009,PO023,141886,2025-06-08,13:35
INV020,V015,PO007,92547,2025-02-20,12:05
INV023,V006,PO086,279436,2025-01-11,16:35
INV024,V010,PO126,288906,2025-04-17,16:28
INV025,V006,PO083,262933,2025-06-22,12:25
INV026,V001,PO076,240901,2025-09-01,18:23
INV027,V003,PO085,150162,2025-05-14,14:27
INV028,V002,PO079,88291,2025-05-02,16:17
INV029,V004,PO090,100579,2025-05-03,10:46
INV030,V002,PO080,99469,2025-03-12,17:48
INV031,V014,PO065,256321,2025-01-19,16:17
INV032,V013,PO129,139910,2025-09-17,17:38
INV033,V007,PO024,106360,2025-04-13,12:18
INV034,V005,PO118,244105,2025-03-07,13:00
INV035,V003,PO111,164921,2025-09-01,09:03
INV036,V004,PO051,80319,2025-06-29,11:40
INV037,V011,PO066,261641,2025-02-09,09:36
INV038,V005,PO101,173555,2025-06-01,16:21
INV039,V009,PO105,114212,2025-01-17,13:55
INV040,V002,PO095,89140,2025-03-27,10:25
INV041,V015,PO142,92296,2025-03-01,09:09
INV042,V005,PO120,260288,2025-04-05,13:05
INV043,V004,PO047,118462,2025-06-29,15:38
INV044,V010,PO014,249009,2025-07-26,12:49
INV046,V007,PO021,99696,2025-05-15,16:19
INV047,V004,PO025,146585,2025-05-30,13:36
INV048,V011,PO017,187203,2025-03-20,10:48
INV049,V007,PO068,84325,2025-08-17,13:42
INV050,V006,PO012,198996,2025-03-13,11:35
INV051,V005,PO124,154831,2025-04-25,15:28
INV052,V006,PO113,255434,2025-08-14,09:14
INV053,V008,PO098,88107,2025-02-03,16:04
INV054,V002,PO042,96175,2025-07-22,18:42
INV055,V009,PO006,118466,2025-06-15,17:14
INV056,V006,PO132,247212,2025-08-11,11:04
INV057,V015,PO094,60584,2025-08-18,13:38
INV058,V007,PO112,65576,2025-09-13,16:07
INV059,V003,PO038,142463,2025-09-08,15:17
INV060,V008,PO026,78256,2025-08-26,16:05
INV061,V007,PO150,79816,2025-02-27,15:47
INV062,V013,PO071,152102,2025-04-30,09:05
INV063,V002,PO040,105453,2025-03-11,18:37
INV064,V015,PO127,84779,2025-01-13,13:36
INV065,V014,PO059,256171,2025-06-19,11:30
INV066,V002,PO103,103026,2025-09-06,13:11
INV067,V014,PO077,224945,2025-05-30,16:05
INV068,V003,PO022,118209,2025-07-26,14:20
INV069,V001,PO052,208894,2025-08-13,14:26
INV070,V008,PO044,120095,2025-03-25,15:52
INV071,V002,PO078,92918,2025-06-20,10:20
INV072,V006,PO004,231073,2025-07-15,15:55
INV073,V012,PO073,217055,2025-04-03,09:42
INV074,V008,PO056,85569,2025-08-13,09:12
INV075,V013,PO145,111074,2025-03-16,16:40
INV076,V012,PO084,195970,2025-04-27,12:17
INV077,V005,PO138,193914,2025-04-06,13:28
INV078,V007,PO029,84811,2025-06-01,18:51
INV079,V014,PO093,233956,2025-02-04,13:35
INV080,V007,PO069,102219,2025-04-09,10:14
INV081,V002,PO088,83532,2025-03-13,10:41
INV082,V008,PO087,105649,2025-01-31,13:32
INV083,V001,PO039,245398,2025-01-14,16:30
INV084,V013,PO146,109692,2025-01-20,11:24
INV085,V012,PO001,211654,2025-02-16,17:47
