po_id,vendor_id,amount,department,created_date,status
PO001,V012,203087,IT,2025-02-09,approved
PO002,V004,137400,IT,2025-01-27,approved
PO003,V002,77031,IT,2025-08-05,approved
PO004,V006,235231,Procurement,2025-07-06,approved
PO005,V008,101226,Marketing,2025-01-21,approved
PO006,V009,119360,HR,2025-06-08,approved
PO007,V015,92394,Facilities,2025-02-19,approved
PO008,V012,163747,HR,2025-02-28,approved
PO009,V013,116387,Procurement,2025-08-07,approved
PO010,V004,132112,Marketing,2025-03-13,approved
PO011,V008,106426,IT,2025-02-11,approved
PO012,V006,206063,HR,2025-03-10,approved
PO013,V012,260365,HR,2025-01-19,approved
PO014,V010,241974,Facilities,2025-07-06,approved
PO015,V004,91129,Marketing,2025-03-11,approved
PO016,V015,83337,Facilities,2025-02-26,approved
PO017,V011,195815,Procurement,2025-02-28,approved
PO018,V014,167893,IT,2025-04-13,approved
PO019,V005,163453,Facilities,2025-08-13,approved
PO020,V012,191060,HR,2025-05-08,approved
PO021,V007,100904,HR,2025-04-28,approved
PO022,V003,120034,Operations,2025-07-10,approved
PO023,V009,136688,HR,2025-05-30,approved
PO024,V007,101484,Marketing,2025-04-03,approved
PO025,V004,139738,Operations,2025-05-11,approved
PO026,V008,77945,Procurement,2025-08-09,approved
PO027,V002,67203,Operations,2025-07-22,approved
PO028,V011,206930,Procurement,2025-04-09,approved
PO029,V007,88149,Marketing,2025-05-16,approved
PO030,V005,264332,Procurement,2025-06-24,approved
PO031,V012,168761,Facilities,2025-07-12,approved
PO032,V005,241759,IT,2025-01-29,approved
PO033,V005,204543,Marketing,2025-01-01,approved
PO034,V012,253590,IT,2025-05-09,approved
PO035,V013,108758,Procurement,2025-08-11,approved
PO036,V011,192881,HR,2025-05-10,approved
PO037,V010,190122,IT,2025-07-15,approved
PO038,V003,139825,Facilities,2025-08-24,approved
PO039,V001,247490,Marketing,2025-01-05,approved
PO040,V002,100798,IT,2025-03-03,approved
PO041,V001,203157,Facilities,2025-01-21,approved
PO042,V002,92264,Procurement,2025-07-14,approved
PO043,V009,152680,Operations,2025-06-18,approved
PO044,V008,122694,Operations,2025-03-09,approved
PO045,V009,160195,Marketing,2025-02-24,approved
PO046,V015,79223,HR,2025-06-26,approved
PO047,V004,123162,Marketing,2025-06-21,approved
PO048,V011,201395,Facilities,2025-04-26,approved
PO049,V002,71318,Procurement,2025-03-28,approved
PO050,V001,246173,Operations,2025-05-31,approved
PO051,V004,82024,HR,2025-06-11,approved
PO052,V001,201680,Procurement,2025-08-09,approved
PO053,V006,172674,Operations,2025-03-13,approved
PO054,V011,214114,Facilities,2025-02-03,approved
PO055,V012,260238,Facilities,2025-05-28,approved
PO056,V008,85896,Marketing,2025-07-26,approved
PO057,V007,70241,Procurement,2025-06-18,approved
PO058,V007,77479,Marketing,2025-04-30,approved
PO059,V014,249604,HR,2025-06-17,approved
PO060,V011,170165,Marketing,2025-07-06,approved
PO061,V006,258342,Procurement,2025-03-05,approved
PO062,V004,92692,Marketing,2025-02-05,approved
PO063,V007,69935,Marketing,2025-03-05,approved
PO064,V014,272370,Marketing,2025-07-26,approved
PO065,V014,264480,Procurement,2025-01-13,approved
PO066,V011,272470,Procurement,2025-01-24,approved
PO067,V015,87976,Operations,2025-02-12,approved
PO068,V007,83280,Operations,2025-08-10,approved
PO069,V007,101688,Operations,2025-04-08,approved
PO070,V001,295326,IT,2025-08-26,approved
PO071,V013,150541,IT,2025-04-19,approved
PO072,V012,262667,Facilities,2025-06-19,approved
PO073,V012,210225,Operations,2025-03-17,approved
PO074,V004,138070,Facilities,2025-07-08,approved
PO075,V009,102990,IT,2025-01-15,approved
PO076,V001,245662,Facilities,2025-08-24,approved
PO077,V014,226397,Procurement,2025-05-11,approved
PO078,V002,97433,Procurement,2025-06-02,approved
PO079,V002,89811,Operations,2025-04-14,approved
PO080,V002,101339,Facilities,2025-03-05,approved
PO081,V010,237163,Facilities,2025-01-21,approved
PO082,V007,90864,Facilities,2025-05-14,approved
PO083,V006,274087,Operations,2025-06-21,approved
PO084,V012,191005,IT,2025-04-12,approved
PO085,V003,149364,IT,2025-04-28,approved
