txn_id,invoice_id,amount,date
TXN001,INV001,206152,2025-01-06
TXN002,INV002,199313,2025-05-15
TXN003,INV004,171832,2025-07-12
TXN004,INV005,271868,2025-07-01
TXN005,INV006,79774,2025-05-09
TXN006,INV007,89736,2025-03-17
TXN007,INV008,156407,2025-08-29
TXN008,INV009,261763,2025-05-24
TXN009,INV010,253272,2025-05-06
TXN010,INV011,159161,2025-03-03
TXN011,INV012,191130,2025-03-03
TXN012,INV013,259323,2025-06-16
TXN013,INV014,203645,2025-09-01
TXN014,INV015,81202,2025-03-16
TXN015,INV016,262687,2025-03-28
TXN016,INV017,224447,2025-08-21
TXN017,INV018,99756,2025-01-31
TXN018,INV019,141886,2025-06-11
TXN019,INV020,92547,2025-02-23
TXN020,INV023,279436,2025-01-16
TXN021,INV024,288906,2025-04-22
TXN022,INV025,262933,2025-06-25
TXN023,INV026,240901,2025-09-03
TXN024,INV027,150162,2025-05-15
TXN025,INV028,88291,2025-05-06
TXN026,INV029,100579,2025-05-05
TXN027,INV030,99469,2025-03-17
TXN028,INV031,256321,2025-01-23
TXN029,INV032,139910,2025-09-19
TXN030,INV033,106360,2025-04-17
TXN031,INV034,244105,2025-03-09
TXN032,INV035,164921,2025-09-04
TXN033,INV036,80319,2025-07-04
TXN034,INV037,261641,2025-02-14
TXN035,INV038,173555,2025-06-05
TXN036,INV039,114212,2025-01-19
TXN037,INV040,89140,2025-03-28
TXN038,INV041,92296,2025-03-03
TXN039,INV042,260288,2025-04-09
TXN040,INV043,118462,2025-07-03
TXN041,INV044,249009,2025-07-26
TXN042,INV046,99696,2025-05-20
TXN043,INV047,146585,2025-06-02
TXN044,INV048,187203,2025-03-21
TXN045,INV049,84325,2025-08-21
TXN046,INV050,198996,2025-03-18
TXN047,INV051,154831,2025-05-01
TXN048,INV052,255434,2025-08-20
TXN049,INV053,88107,2025-02-08
TXN050,INV054,96175,2025-07-27
TXN051,INV055,118466,2025-06-19
TXN052,INV056,247212,2025-08-16
TXN053,INV057,60584,2025-08-23
TXN054,INV058,65576,2025-09-17
TXN055,INV059,142463,2025-09-13
TXN056,INV060,78256,2025-08-27
TXN057,INV061,79816,2025-03-03
TXN058,INV062,152102,2025-05-02
TXN059,INV063,105453,2025-03-17
TXN060,INV064,84779,2025-01-15
TXN061,INV065,256171,2025-06-23
TXN062,INV066,103026,2025-09-09
TXN063,INV067,224945,2025-05-31
TXN064,INV068,118209,2025-07-29
TXN065,INV069,208894,2025-08-18
TXN066,INV070,120095,2025-03-29
TXN067,INV071,92918,2025-06-23
TXN068,INV072,231073,2025-07-19
TXN069,INV073,217055,2025-04-07
TXN070,INV074,85569,2025-08-15
TXN071,INV075,111074,2025-03-20
TXN072,INV076,195970,2025-04-30
TXN073,INV077,193914,2025-04-12
TXN074,INV078,84811,2025-06-04
TXN075,INV079,233956,2025-02-08
TXN076,INV080,102219,2025-04-13
TXN077,INV081,83532,2025-03-15
TXN078,INV082,105649,2025-02-03
TXN079,INV083,245398,2025-01-16
TXN080,INV084,109692,2025-01-23
TXN081,INV085,211654,2025-02-21
TXN082,INV086,96066,2025-02-13
TXN083,INV087,70176,2025-04-14
TXN084,INV088,135071,2025-07-10
TXN085,INV089,77646,2025-08-29
TXN086,INV090,102439,2025-01-21
TXN087,INV091,204709,2025-02-13
TXN088,INV092,240394,2025-05-02
TXN089,INV093,67685,2025-07-31
TXN090,INV094,156274,2025-03-17
TXN091,INV095,220955,2025-04-16
TXN092,INV096,163805,2025-07-12
TXN093,INV097,196090,2025-06-27
TXN094,INV098,105632,2025-09-04
TXN095,INV099,171119,2025-03-24
TXN096,INV100,220141,2025-02-21
TXN097,INV101,118629,2025-08-31
TXN098,INV102,232269,2025-07-13
TXN099,INV103,230703,2025-06-19
TXN100,INV104,133762,2025-06-20
TXN101,INV105,176590,2025-08-28
TXN102,INV106,252582,2025-06-07
TXN103,INV107,269460,2025-07-02
TXN104,INV108,196718,2025-05-22
TXN105,INV109,166729,2025-04-28
TXN106,INV110,107127,2025-02-26
TXN107,INV111,282891,2025-09-02
TXN108,INV112,64906,2025-09-03
TXN109,INV113,152086,2025-06-30
TXN110,INV114,182500,2025-06-19
TXN111,INV115,199057,2025-05-05
TXN112,INV116,198586,2025-08-02
TXN113,INV117,144198,2025-07-08
TXN114,INV118,128138,2025-03-27
TXN115,INV119,133492,2025-08-24
TXN116,INV120,97558,2025-06-15
TXN117,INV121,164955,2025-07-28
TXN118,INV122,246901,2025-01-26
TXN119,INV123,71863,2025-03-16
TXN120,INV124,198836,2025-09-10
TXN121,INV125,218447,2025-06-23
TXN122,INV126,215445,2025-01-20
TXN123,INV127,183880,2025-05-28
TXN124,INV128,246076,2025-06-06
TXN125,INV129,73433,2025-08-29
TXN126,INV130,190155,2025-08-13
TXN127,INV131,126710,2025-05-31
TXN128,INV132,92087,2025-03-01
TXN129,INV133,173801,2025-03-12
TXN130,INV134,125138,2025-02-06
