vendor_id,name,avg_invoice_amount,first_seen_date
V001,ABC Ltd,247621,2024-02-27
V002,XYZ Ltd,86556,2024-05-20
V003,Sterling Supplies,144196,2024-04-24
V004,Nova Traders,116579,2024-02-22
V005,Orion Corp,222964,2024-02-14
V006,BlueWave Industries,234794,2024-08-04
V007,Crescent Logistics,88331,2024-01-16
V008,Pioneer Materials,104561,2024-04-21
V009,Vertex Solutions,140990,2024-09-15
V010,Harbor Manufacturing,237815,2024-01-14
V011,Zenith Enterprises,227127,2024-04-11
V012,Meridian Goods,222853,2024-08-02
V013,Coastal Equipment,137787,2024-08-17
V014,Summit Vendors,234472,2024-05-22
V015,Delta Systems,81703,2024-03-22
